,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,state
73,73,0.8439366100137805,2024-08-01 08:48:20.465170,2024-08-01 08:48:21.010035,0 days 00:00:00.544865,0.505864683989616,7,0.46800959274119336,0.0005151202829468445,2.78162345752154,0.03692251081734667,4,46,125,COMPLETE
74,74,0.8451495751033533,2024-08-01 08:48:21.010718,2024-08-01 08:48:21.432688,0 days 00:00:00.421970,0.42880499347965395,7,0.7281313602569442,0.0014979135263499667,1.4979902778957175e-06,0.06874323929347051,3,55,134,COMPLETE
75,75,0.8442021704180065,2024-08-01 08:48:21.433250,2024-08-01 08:48:21.912240,0 days 00:00:00.478990,0.4805318153335036,7,0.8761878681939721,0.0001719403200604656,0.09302252897241996,0.0441607201131371,4,40,140,COMPLETE
76,76,0.8345271589343133,2024-08-01 08:48:21.912772,2024-08-01 08:48:22.253063,0 days 00:00:00.340291,0.5287594714598389,6,0.7670102129814008,0.002144346018579942,0.8524340552634562,0.00231869665777169,3,51,145,COMPLETE
77,77,0.8413527790537437,2024-08-01 08:48:22.253521,2024-08-01 08:48:23.844711,0 days 00:00:01.591190,0.46399807432129264,7,0.7084081003983722,0.0009671270628034229,7.242274207906331e-06,0.0008431611001884517,11,29,53,COMPLETE
78,78,0.8410010909508499,2024-08-01 08:48:23.845197,2024-08-01 08:48:24.906960,0 days 00:00:01.061763,0.5862701139640281,4,0.9070536314187644,0.005359789955711156,1.5432802781828284e-05,0.05454221590807851,5,25,91,COMPLETE
79,79,0.8433373047772164,2024-08-01 08:48:24.907714,2024-08-01 08:48:25.703712,0 days 00:00:00.795998,0.5533778213508376,5,0.7539170290967886,0.10442739911346666,2.365848171295469,0.09768357987699086,9,83,120,COMPLETE
80,80,0.8453254191548002,2024-08-01 08:48:25.704155,2024-08-01 08:48:26.150573,0 days 00:00:00.446418,0.6095686073830554,6,0.8151639207997385,0.023770980934694822,0.0014437431444020827,0.0323582229606293,3,44,131,COMPLETE
81,81,0.8445323265962333,2024-08-01 08:48:26.151205,2024-08-01 08:48:26.599202,0 days 00:00:00.447997,0.505322720975939,7,0.9179847439842497,0.012296783347755288,8.95525726780071,0.06234951452008084,3,49,135,COMPLETE
82,82,0.8472848242994948,2024-08-01 08:48:26.599703,2024-08-01 08:48:27.020487,0 days 00:00:00.420784,0.5098523397220617,7,0.940688200275418,0.0074667074783706395,4.9721633559046525,0.04824953007081075,3,49,140,COMPLETE
83,83,0.8453361851171337,2024-08-01 08:48:27.020966,2024-08-01 08:48:27.522953,0 days 00:00:00.501987,0.4854154068385765,7,0.949290911362103,0.0003912034059419633,5.679707815637019,0.04236507869829835,4,60,147,COMPLETE
