,number,value,datetime_start,datetime_complete,duration,params_alpha,params_colsample_bytree,params_gamma,params_lambda,params_learning_rate,params_max_depth,params_min_child_weight,params_subsample,state
35,35,0.8424760277905374,2024-08-01 08:39:00.957911,2024-08-01 08:39:01.131937,0 days 00:00:00.174026,8.785144314479686e-08,0.524634328267795,7.361021458863959e-05,0.03991387284997085,0.06601700677931355,12,9,0.8565256345745695,COMPLETE
36,36,0.839590749885163,2024-08-01 08:39:01.132960,2024-08-01 08:39:01.307544,0 days 00:00:00.174584,1.2688527543386121e-07,0.5766527870804649,7.610693570108376e-05,0.028878894561652293,0.020171045954242222,12,10,0.9168490735628076,COMPLETE
37,37,0.8399819131832797,2024-08-01 08:39:01.307929,2024-08-01 08:39:01.486849,0 days 00:00:00.178920,7.101368101239522e-07,0.5159905133069861,0.008652207041521913,0.048680823564488676,0.003609528170572776,11,9,0.9340206410696754,COMPLETE
38,38,0.8395261541111622,2024-08-01 08:39:01.487244,2024-08-01 08:39:01.658410,0 days 00:00:00.171166,2.415670158911709e-08,0.6530130746712193,6.4426516121868914e-06,0.00038635555051574964,0.09608517772741694,12,10,0.8643189283896586,COMPLETE
39,39,0.8344769177767569,2024-08-01 08:39:01.658800,2024-08-01 08:39:01.837765,0 days 00:00:00.178965,2.796779433187141e-06,0.7400506821600572,9.734235279318066e-05,0.007669428269671751,0.009518501367070059,11,9,0.6650743489396589,COMPLETE
40,40,0.8384495578778134,2024-08-01 08:39:01.838163,2024-08-01 08:39:02.012291,0 days 00:00:00.174128,1.2803144679555626e-07,0.5386195296746191,0.0027119566874054895,0.007497719569971812,0.004806491991238248,12,10,0.5885331420954325,COMPLETE
41,41,0.8411984669269637,2024-08-01 08:39:02.012708,2024-08-01 08:39:02.191062,0 days 00:00:00.178354,4.5898365395643676e-08,0.4490442705602614,3.6137334279466843e-07,0.06879444509328116,0.06313997693858055,10,9,0.8149165100807796,COMPLETE
42,42,0.8392605937069363,2024-08-01 08:39:02.191473,2024-08-01 08:39:02.364486,0 days 00:00:00.173013,3.3878937644858344e-08,0.456265839530869,4.5683274216122233e-07,0.07113940073759802,0.05928129905310773,10,9,0.8061184669810066,COMPLETE
43,43,0.8380404513091411,2024-08-01 08:39:02.364870,2024-08-01 08:39:02.544553,0 days 00:00:00.179683,8.780091977962826e-07,0.49961792661602594,6.201396948467518e-06,0.02101713914120348,0.03220410093877449,11,10,0.8601693045050052,COMPLETE
44,44,0.8463194763435922,2024-08-01 08:39:02.544962,2024-08-01 08:39:02.739808,0 days 00:00:00.194846,9.25603749725171e-08,0.5384339000100397,1.636925258894362e-06,0.0010919569902600999,0.07770686545823383,12,8,0.9654985912660483,COMPLETE
45,45,0.8422930064308682,2024-08-01 08:39:02.740845,2024-08-01 08:39:02.938364,0 days 00:00:00.197519,4.161619706473765e-07,0.6010531336391596,0.00015936215798226407,0.0008406897766153135,0.08405107059056244,12,8,0.9718154114554982,COMPLETE
46,46,0.8433911345888838,2024-08-01 08:39:02.938767,2024-08-01 08:39:03.128740,0 days 00:00:00.189973,4.442286640774483e-07,0.5814733409377205,0.00022917613981255966,0.00012645673455288298,0.07813613969162898,12,8,0.9705547515313381,COMPLETE
47,47,0.8406278709232888,2024-08-01 08:39:03.129154,2024-08-01 08:39:03.322764,0 days 00:00:00.193610,1.737231958455407e-05,0.5911478516859882,0.0002113161169842138,7.732905884131712e-06,0.08397014483386969,12,8,0.9713187415464846,COMPLETE
48,48,0.8401936437758383,2024-08-01 08:39:03.323390,2024-08-01 08:39:03.514106,0 days 00:00:00.190716,1.0582976374310351e-08,0.6081867701544313,0.0004840997243734361,0.00010619603330622963,0.02548249767158103,12,8,0.9924342602855317,COMPLETE
49,49,0.8435239147909968,2024-08-01 08:39:03.514520,2024-08-01 08:39:03.699896,0 days 00:00:00.185376,5.890465143056995e-07,0.5399937417543124,0.001252351797737313,0.0006239779693408691,0.07408169179631537,11,6,0.9706727359783064,COMPLETE
50,50,0.8423253043178686,2024-08-01 08:39:03.700289,2024-08-01 08:39:03.892468,0 days 00:00:00.192179,2.540576417495534e-06,0.5442140438761249,0.0014798612220419628,1.3695658730181822e-05,0.0006887818568383339,11,5,0.9998944691632722,COMPLETE
51,51,0.8441626952227836,2024-08-01 08:39:03.892840,2024-08-01 08:39:04.088189,0 days 00:00:00.195349,2.1584759789640527e-06,0.5455937995478378,0.0025854199658287766,1.9440335623036473e-05,0.00022441863478598424,11,5,0.9889982639380468,COMPLETE
