,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,state
71,71,0.8388120119430408,2024-08-01 09:13:36.175060,2024-08-01 09:13:47.372787,0 days 00:00:11.197727,83,0.2294790366335438,0.44753135039485975,0.002210298241850463,134,407,COMPLETE
72,72,0.8414460840606338,2024-08-01 09:13:47.373143,2024-08-01 09:13:56.138306,0 days 00:00:08.765163,76,0.206482839144088,0.40911957406572047,0.003170041838992053,101,393,COMPLETE
73,73,0.8391421681212677,2024-08-01 09:13:56.138657,2024-08-01 09:14:05.232116,0 days 00:00:09.093459,36,0.21761517915958406,0.4263773563682488,0.0018249086560778987,121,367,COMPLETE
74,74,0.8418695452457511,2024-08-01 09:14:05.232586,2024-08-01 09:14:17.208930,0 days 00:00:11.976344,69,0.21444439940352666,0.45739934749058003,0.0027133077672009532,146,283,COMPLETE
75,75,0.8433121841984381,2024-08-01 09:14:17.209353,2024-08-01 09:14:28.465337,0 days 00:00:11.255984,82,0.23944536287580379,0.48146332647174495,0.0034385666892666265,292,438,COMPLETE
76,76,0.8412235875057419,2024-08-01 09:14:28.465699,2024-08-01 09:14:39.776205,0 days 00:00:11.310506,81,0.25773561110911913,0.4787704830290733,0.0036932789239883875,345,446,COMPLETE
77,77,0.8398383670188332,2024-08-01 09:14:39.776594,2024-08-01 09:14:50.992499,0 days 00:00:11.215905,86,0.24405383126509125,0.49293310231121423,0.004455162920733333,287,431,COMPLETE
78,78,0.8431829926504364,2024-08-01 09:14:50.992845,2024-08-01 09:15:04.661522,0 days 00:00:13.668677,52,0.23751998101094157,0.46709398113395634,0.003351741044053934,362,460,COMPLETE
79,79,0.8414460840606337,2024-08-01 09:15:04.661897,2024-08-01 09:15:17.380719,0 days 00:00:12.718822,51,0.25434762743026595,0.4863485708860902,0.0032913993128197397,329,472,COMPLETE
80,80,0.8410441548001837,2024-08-01 09:15:17.381078,2024-08-01 09:15:30.470458,0 days 00:00:13.089380,45,0.23639057582200082,0.46562803312776563,0.005279004086417858,375,499,COMPLETE
81,81,0.8406637574644005,2024-08-01 09:15:30.470844,2024-08-01 09:15:42.911025,0 days 00:00:12.440181,41,0.21056882772678595,0.45259645396412124,0.002668785529041785,392,453,COMPLETE
