,number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_border_count,params_depth,params_l2_leaf_reg,params_learning_rate,params_scale_pos_weight,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
54,54,0.8081653798787419,2024-08-03 14:57:19.954338,2024-08-03 14:57:24.182489,0 days 00:00:04.228151,0.16836836701157715,199,5,0.26438349245706694,0.000820965039251218,0.2799905193242943,0.6066350710900474,0.5596816976127321,0.39811320754716983,0.9419642857142857,0.8350734447004609,COMPLETE
55,55,0.7968164794007491,2024-08-03 14:57:24.182835,2024-08-03 14:57:26.595057,0 days 00:00:02.412222,0.16409834372372392,198,5,0.11012442791749552,0.0006106397127501243,0.2994695409468188,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8343101958525345,COMPLETE
56,56,0.8037446831915518,2024-08-03 14:57:26.595418,2024-08-03 14:57:30.333430,0 days 00:00:03.738012,0.039873172224486476,212,3,0.0001267704652291458,0.00026269100977708047,0.40120996219728555,0.37203791469194314,0.45585215605749485,0.296,0.9910714285714286,0.8290538594470047,COMPLETE
57,57,0.7968164794007491,2024-08-03 14:57:30.333748,2024-08-03 14:57:32.201815,0 days 00:00:01.868067,0.3828235143367197,207,4,0.00012556517851983448,0.0011991584657675127,0.4141664847887607,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8336909562211982,COMPLETE
58,58,0.0,2024-08-03 14:57:32.202152,2024-08-03 14:57:40.815297,0 days 00:00:08.613145,0.27788027076062227,212,6,4.413032839163821e-05,0.0008031501358521142,0.04602817410422208,0.7345971563981043,0.0,0.0,0.0,0.8271817396313365,COMPLETE
59,59,0.3127210042432814,2024-08-03 14:57:40.815661,2024-08-03 14:58:18.853002,0 days 00:00:38.037341,0.042443734340208455,216,9,0.00042726042822500266,0.0024267452472410494,0.2697547448967525,0.783175355450237,0.39603960396039606,0.759493670886076,0.26785714285714285,0.8331725230414746,COMPLETE
60,60,0.6547260470453242,2024-08-03 14:58:18.853348,2024-08-03 14:58:24.598194,0 days 00:00:05.744846,0.7525124606642619,240,3,3.980639744863657e-06,0.0004893950889916368,0.5628661575934294,0.7701421800947867,0.610441767068273,0.5547445255474452,0.6785714285714286,0.82983150921659,COMPLETE
61,61,0.7968164794007491,2024-08-03 14:58:24.598535,2024-08-03 14:58:26.340179,0 days 00:00:01.741644,0.08620810142519414,186,3,0.32265598893956454,0.0002552270075987774,0.7613672634340451,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8246759792626727,COMPLETE
62,62,0.7968164794007491,2024-08-03 14:58:26.340508,2024-08-03 14:58:30.311210,0 days 00:00:03.970702,0.002512787681706108,199,4,4.103849168020439,0.00019256231163578385,0.4247925695203517,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8301483294930876,COMPLETE
63,63,0.7968164794007491,2024-08-03 14:58:30.311578,2024-08-03 14:58:33.027635,0 days 00:00:02.716057,0.1379085607636206,226,3,0.0009761093954486288,0.00013556467849075714,0.5379612824676306,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8272321428571429,COMPLETE
64,64,0.7968164794007491,2024-08-03 14:58:33.027972,2024-08-03 14:58:34.372128,0 days 00:00:01.344156,0.04745445898639608,180,3,6.356951558970349,0.00019582751997553676,0.79757670491277,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8258784562211982,COMPLETE
65,65,0.7968164794007491,2024-08-03 14:58:34.372523,2024-08-03 14:58:37.136509,0 days 00:00:02.763986,0.18117761433159452,152,4,2.3041354696876897,0.00034465569914841963,0.14216270494109093,0.26540284360189575,0.41947565543071164,0.26540284360189575,1.0,0.8309907834101382,COMPLETE
