,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_layer1,params_dropout_layer2,params_learning_rate,params_units_layer1,params_units_layer2,user_attrs_accuracy,user_attrs_f1,user_attrs_precision,user_attrs_recall,user_attrs_roc,state
68,68,0.5812680172966048,2024-08-03 15:19:32.332838,2024-08-03 15:19:42.769359,0 days 00:00:10.436521,115,0.3863789182837501,0.3105373340963508,0.0014368054582677005,293,153,0.7796208530805687,0.5829596412556054,0.5855855855855856,0.5803571428571429,0.8388320852534562,COMPLETE
69,69,0.6278571428571429,2024-08-03 15:19:42.769767,2024-08-03 15:19:54.334892,0 days 00:00:11.565125,120,0.3691819626611989,0.43805902002001296,0.0003407255251403574,305,143,0.7725118483412322,0.6000000000000001,0.5625,0.6428571428571429,0.8399625576036867,COMPLETE
70,70,0.5874604930467763,2024-08-03 15:19:54.335299,2024-08-03 15:20:05.386112,0 days 00:00:11.050813,125,0.4824474823556378,0.3306138556446642,0.004713381775099851,250,46,0.7772511848341233,0.584070796460177,0.5789473684210527,0.5892857142857143,0.8376152073732719,COMPLETE
71,71,0.6729808867463336,2024-08-03 15:20:05.386512,2024-08-03 15:20:16.565764,0 days 00:00:11.179252,114,0.42900485547714284,0.26335386665787563,0.0006341353831765924,283,77,0.7535545023696683,0.6045627376425856,0.5264900662251656,0.7098214285714286,0.8376368087557603,COMPLETE
72,72,0.6633594628796401,2024-08-03 15:20:16.566144,2024-08-03 15:20:28.638678,0 days 00:00:12.072534,102,0.42542325984211987,0.25378191719503906,0.00054973673552826,281,72,0.7654028436018957,0.6102362204724411,0.545774647887324,0.6919642857142857,0.837118375576037,COMPLETE
73,73,0.6095373376623376,2024-08-03 15:20:28.639073,2024-08-03 15:20:41.063688,0 days 00:00:12.424615,102,0.42592378030783695,0.254464171668692,0.0008441788910414856,278,73,0.7796208530805687,0.5974025974025975,0.5798319327731093,0.6160714285714286,0.8369527649769587,COMPLETE
74,74,0.6309629455230369,2024-08-03 15:20:41.064105,2024-08-03 15:20:52.982171,0 days 00:00:11.918066,102,0.44105089876349535,0.2968893260230064,0.0005309529879526672,220,92,0.7618483412322274,0.592292089249493,0.5427509293680297,0.6517857142857143,0.8393577188940092,COMPLETE
75,75,0.6452232142857143,2024-08-03 15:20:52.982635,2024-08-03 15:21:07.458475,0 days 00:00:14.475840,108,0.41327336544613713,0.37643197960459274,0.000587158950974268,237,107,0.7725118483412322,0.6081632653061224,0.5601503759398496,0.6651785714285714,0.8383280529953917,COMPLETE
76,76,0.6281405279503105,2024-08-03 15:21:07.458888,2024-08-03 15:21:19.073751,0 days 00:00:11.614863,96,0.391300627658756,0.3887301118675885,0.0004626254895271157,205,489,0.7914691943127962,0.6173913043478261,0.6016949152542372,0.6339285714285714,0.8420866935483872,COMPLETE
77,77,0.6352549171842651,2024-08-03 15:21:19.074161,2024-08-03 15:21:33.442758,0 days 00:00:14.368597,53,0.4020307491766724,0.28461334395160837,0.00025523415023764103,265,70,0.773696682464455,0.6045548654244307,0.5637065637065637,0.6517857142857143,0.8380472350230413,COMPLETE
78,78,0.6261367917420132,2024-08-03 15:21:33.443150,2024-08-03 15:21:44.517004,0 days 00:00:11.073854,113,0.3450886903696454,0.35987535723493114,0.00043880731291166206,287,327,0.7772511848341233,0.6033755274261603,0.572,0.6383928571428571,0.84020017281106,COMPLETE
79,79,0.625249474789916,2024-08-03 15:21:44.517407,2024-08-03 15:21:55.664200,0 days 00:00:11.146793,98,0.4255469056772122,0.44869889938962715,0.0010493493208231328,350,126,0.7748815165876777,0.6008403361344538,0.5674603174603174,0.6383928571428571,0.8404737903225807,COMPLETE
80,80,0.6592993499701136,2024-08-03 15:21:55.664632,2024-08-03 15:22:06.197384,0 days 00:00:10.532752,108,0.40908177623239583,0.46535020550244627,0.0007737885475593798,251,53,0.7914691943127962,0.6317991631799164,0.594488188976378,0.6741071428571429,0.8405601958525345,COMPLETE
81,81,0.6561953883495146,2024-08-03 15:22:06.197778,2024-08-03 15:22:17.242260,0 days 00:00:11.044482,118,0.47225080601567404,0.23447621415175116,0.000707345406344437,317,42,0.754739336492891,0.5980582524271845,0.5292096219931272,0.6875,0.8350302419354838,COMPLETE
82,82,0.6234970238095238,2024-08-03 15:22:17.242661,2024-08-03 15:22:28.421189,0 days 00:00:11.178528,122,0.45011966209191695,0.2464546967597806,0.0005532395158410754,336,82,0.7701421800947867,0.5958333333333333,0.55859375,0.6383928571428571,0.8354478686635946,COMPLETE
83,83,0.6560209235209236,2024-08-03 15:22:28.421632,2024-08-03 15:22:39.176016,0 days 00:00:10.754384,115,0.460341616389686,0.27151089762026465,0.000682086777825519,301,56,0.773696682464455,0.6141414141414141,0.5608856088560885,0.6785714285714286,0.8421514976958526,COMPLETE
84,84,0.6510243523510033,2024-08-03 15:22:39.176434,2024-08-03 15:22:50.625474,0 days 00:00:11.449040,112,0.3832466952851829,0.22693083075775494,0.0009394415158473885,362,40,0.7879146919431279,0.6247379454926625,0.5889328063241107,0.6651785714285714,0.8414602534562211,COMPLETE
85,85,0.625249474789916,2024-08-03 15:22:50.625868,2024-08-03 15:23:03.234333,0 days 00:00:12.608465,106,0.36223231508834625,0.24527675581453,0.00037289274934031706,276,68,0.7748815165876777,0.6008403361344538,0.5674603174603174,0.6383928571428571,0.8372263824884794,COMPLETE
86,86,0.6073914699906221,2024-08-03 15:23:03.234769,2024-08-03 15:23:14.045807,0 days 00:00:10.811038,127,0.4336496034710522,0.2586213405687544,0.0011835960696324071,326,87,0.783175355450237,0.5995623632385121,0.5879828326180258,0.6116071428571429,0.8402289746543777,COMPLETE
87,87,0.6753448879551821,2024-08-03 15:23:14.046214,2024-08-03 15:23:25.440345,0 days 00:00:11.394131,120,0.4884922120666091,0.2641995378849923,0.0002784092423943257,306,243,0.7701421800947867,0.6196078431372548,0.5524475524475524,0.7053571428571429,0.8419354838709677,COMPLETE
88,88,0.6417593676814989,2024-08-03 15:23:25.440834,2024-08-03 15:23:37.033997,0 days 00:00:11.593163,117,0.4449639187988318,0.2635003798310908,0.00019978540874297416,304,248,0.7725118483412322,0.6065573770491803,0.5606060606060606,0.6607142857142857,0.8394945276497696,COMPLETE
