,number,value,datetime_start,datetime_complete,duration,params_bagging_fraction,params_bagging_freq,params_feature_fraction,params_lambda_l1,params_lambda_l2,params_learning_rate,params_max_depth,params_min_data_in_leaf,params_num_leaves,user_attrs_accuracy,user_attrs_f1,user_attrs_recall,user_attrs_roc,state
62,62,0.5998908511642542,2024-08-03 10:40:51.049123,2024-08-03 10:40:52.239268,0 days 00:00:01.190145,0.7791801382889354,6,0.5733254841610772,0.00047890651755476963,1.637555282008318e-07,0.07402130239481433,5,94,150,0.7819905213270142,0.5947136563876652,0.6026785714285714,0.8345550115207373,COMPLETE
63,63,0.5485519688644689,2024-08-03 10:40:52.239626,2024-08-03 10:40:54.339695,0 days 00:00:02.100069,0.8300101571450018,6,0.5293927346397136,0.00015825276419661997,6.344769780961123e-08,0.0450686058203086,9,80,132,0.7784360189573459,0.5641025641025641,0.5401785714285714,0.8341517857142857,COMPLETE
64,64,0.5954472152297041,2024-08-03 10:40:54.340247,2024-08-03 10:40:55.507988,0 days 00:00:01.167741,0.7050738192364253,6,0.5006489973753637,7.067534465798732e-07,4.058053034618214e-07,0.0353330983449521,5,100,139,0.7796208530805687,0.5903083700440528,0.5982142857142857,0.837996831797235,COMPLETE
65,65,0.5862013443017657,2024-08-03 10:40:55.508420,2024-08-03 10:40:56.295712,0 days 00:00:00.787292,0.7312596770569361,7,0.6479241612491058,0.0011547222511504062,2.8655942587300275e-06,0.08130060440421884,4,113,145,0.783175355450237,0.5887640449438203,0.5848214285714286,0.8351598502304147,COMPLETE
66,66,0.6237170031055901,2024-08-03 10:40:56.296162,2024-08-03 10:40:57.424019,0 days 00:00:01.127857,0.6665210304235113,4,0.6172588288953154,0.04213402520979511,3.9302338621419057e-08,0.04733914001415153,6,89,129,0.7890995260663507,0.6130434782608696,0.6294642857142857,0.8371543778801843,COMPLETE
67,67,0.5848214285714286,2024-08-03 10:40:57.424449,2024-08-03 10:40:58.284997,0 days 00:00:00.860548,0.6749386311341131,4,0.6934845801597719,0.004113823075478793,4.4161350228043597e-08,0.0964547380346371,5,105,122,0.7796208530805687,0.5848214285714286,0.5848214285714286,0.8352390552995392,COMPLETE
68,68,0.6125955261136713,2024-08-03 10:40:58.285405,2024-08-03 10:40:59.024974,0 days 00:00:00.739569,0.5698006664351598,4,0.6162161371184716,0.05337807483942937,1.4160624460178787e-08,0.05884431068186495,4,97,107,0.7784360189573459,0.5978494623655914,0.6205357142857143,0.8379464285714286,COMPLETE
69,69,0.5755287992190042,2024-08-03 10:40:59.025449,2024-08-03 10:41:00.189981,0 days 00:00:01.164532,0.6614628093082088,2,0.7205797499353865,8.083680715219619e-05,1.094103116292522e-07,0.029707422492236922,6,92,114,0.783175355450237,0.5831435079726651,0.5714285714285714,0.8347494239631337,COMPLETE
70,70,0.5880704365079366,2024-08-03 10:41:00.190392,2024-08-03 10:41:01.338125,0 days 00:00:01.147733,0.6268660182737701,4,0.5673439883083496,2.6177396722437735e-05,1.1085640376998893,0.07817298759098687,7,87,128,0.7879146919431279,0.5941043083900227,0.5848214285714286,0.8368231566820277,COMPLETE
71,71,0.6411075227963526,2024-08-03 10:41:01.338554,2024-08-03 10:41:02.153274,0 days 00:00:00.814720,0.5821084070805165,4,0.6072156036809767,0.05076351983457861,1.7773453284383975e-08,0.05927375982041338,4,97,108,0.7890995260663507,0.6212765957446809,0.6517857142857143,0.8381480414746544,COMPLETE
72,72,0.6156517094017093,2024-08-03 10:41:02.153676,2024-08-03 10:41:02.922332,0 days 00:00:00.768656,0.5922609340414788,4,0.6371311003212082,0.012473240256341937,2.1893651581585297e-08,0.04920900529572702,4,98,122,0.7772511848341233,0.5982905982905983,0.625,0.8352354550691244,COMPLETE
73,73,0.617002688172043,2024-08-03 10:41:02.922667,2024-08-03 10:41:03.759026,0 days 00:00:00.836359,0.5759554707289126,4,0.6360571434294224,0.24758131053025922,1.9824038897507315e-08,0.04864381768162323,4,98,98,0.7808056872037915,0.6021505376344086,0.625,0.8381552419354836,COMPLETE
74,74,0.6055706732259065,2024-08-03 10:41:03.759493,2024-08-03 10:41:04.582802,0 days 00:00:00.823309,0.5736847342249759,3,0.6013406831774442,0.20721638987876484,1.0345817663252616e-08,0.06295275230611408,4,118,92,0.7784360189573459,0.5943600867678959,0.6116071428571429,0.8363263248847926,COMPLETE
75,75,0.0,2024-08-03 10:41:04.583329,2024-08-03 10:41:05.591626,0 days 00:00:01.008297,0.6177068390930566,4,0.6912221356064964,1.2856613345300099,4.7454211400093816e-08,0.0036748705174230586,5,74,107,0.7345971563981043,0.0,0.0,0.8297307027649771,COMPLETE
76,76,0.5892857142857143,2024-08-03 10:41:05.592009,2024-08-03 10:41:06.516355,0 days 00:00:00.924346,0.5603359861449019,3,0.6554323927010678,0.12811271492118725,2.6487793293917116e-08,0.048744076045726475,5,107,100,0.7819905213270142,0.5892857142857143,0.5892857142857143,0.8370607718894009,COMPLETE
77,77,0.6047973825291706,2024-08-03 10:41:06.516729,2024-08-03 10:41:07.360720,0 days 00:00:00.843991,0.6437753994542131,5,0.6176679160967483,0.3953600922730571,1.4169090392130767e-07,0.022040972189929873,4,96,97,0.7855450236966824,0.6004415011037527,0.6071428571428571,0.8359194988479264,COMPLETE
